Day,Susceptible,Exposed,Infected,Recovered,Hospitalized,Dead,R0,R0_Obs
01-01,893,0,107,0,0,0,0.0,0.0
02-01,0,874,109,17,0,0,0.0,0.0
03-01,2,744,217,37,0,0,226.0,100.23
04-01,2,441,490,67,0,0,93.51,137.66
05-01,18,160,716,99,7,0,27.05,49.06
06-01,36,46,759,147,12,0,14.21,2.85
07-01,22,61,673,229,15,0,41.13,14.73
08-01,51,113,525,298,13,0,111.11,77.6
09-01,28,192,394,376,10,0,168.31,80.89
10-01,31,281,297,387,4,0,178.93,125.52
11-01,14,359,295,327,5,0,157.55,72.8
12-01,5,381,337,275,2,0,125.64,40.38
13-01,3,381,404,211,1,0,87.99,9.26
14-01,1,317,506,174,2,0,69.32,18.94
15-01,0,256,560,181,3,0,62.1,14.86
16-01,1,206,589,198,6,0,65.44,22.02
17-01,0,187,580,226,7,0,90.06,36.97
18-01,2,198,519,274,7,0,101.68,55.06
19-01,3,223,472,296,6,0,117.01,55.25
20-01,2,243,427,324,4,0,119.6,62.74
21-01,3,278,409,307,3,0,112.56,47.67
22-01,2,315,418,260,5,0,102.13,30.52
23-01,5,287,442,261,5,0,107.85,38.38
24-01,2,278,470,246,4,0,84.0,58.41
25-01,0,262,493,242,3,0,83.09,41.12
26-01,1,283,491,222,3,0,75.75,36.49
27-01,3,239,514,242,2,0,87.58,44.33
28-01,0,233,481,282,4,0,87.36,43.51
29-01,2,233,472,287,6,0,94.42,40.47
30-01,1,261,457,278,3,0,93.35,40.48
31-01,4,267,451,275,3,0,101.73,46.98
01-02,3,285,448,262,2,0,101.77,43.09
02-02,3,275,453,266,3,0,109.54,53.39
03-02,3,265,458,269,5,0,92.85,53.27
04-02,2,269,460,265,4,0,79.51,55.48
05-02,1,266,469,263,1,0,80.69,28.94
06-02,4,277,476,238,5,0,92.1,37.16
07-02,0,264,490,240,6,0,96.93,43.91
08-02,0,253,488,253,6,0,87.12,40.47
09-02,5,225,492,272,6,0,94.84,51.0
10-02,3,242,472,277,6,0,88.76,49.72
11-02,2,245,463,286,4,0,101.78,51.4
12-02,5,261,450,282,2,0,107.65,58.77
13-02,9,271,439,277,4,0,98.87,54.17
14-02,4,280,441,272,3,0,99.49,43.32
15-02,5,284,456,250,5,0,94.86,46.07
16-02,2,281,457,254,6,0,87.25,67.98
17-02,3,285,456,249,7,0,89.27,59.65
18-02,7,268,463,257,5,0,93.47,48.42
19-02,1,265,455,275,4,0,89.34,59.5
20-02,2,258,476,261,3,0,88.56,66.97
21-02,1,274,463,259,3,0,74.61,42.74
22-02,2,269,467,257,5,0,86.72,51.96
23-02,1,249,472,272,6,0,92.63,56.81
24-02,2,268,449,273,8,0,90.07,64.71
25-02,2,286,447,259,6,0,98.13,50.38
26-02,5,286,441,262,6,0,101.97,58.17
27-02,3,259,471,264,3,0,94.74,68.35
28-02,4,251,480,261,4,0,72.58,33.47
01-03,4,249,481,263,3,0,79.46,37.87
02-03,3,263,473,254,7,0,86.42,60.32
03-03,7,251,467,267,8,0,90.42,49.82
04-03,3,245,476,270,6,0,100.69,57.73
