,Agent_Commerce($),Agent_Catering($),Agent_Health($),Agent_RecreationActiv($),Agent_Transport($),Agent_Hotel($),Agent_RealState($)
0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0
2,0,0,0,0,0,0,0
3,0,0,0,0,0,0,0
4,0,0,0,0,0,0,0
5,0,0,0,0,0,0,0
6,0,0,0,0,0,0,0
7,0,0,0,0,0,0,0
8,0,0,0,0,0,0,0
9,0,0,0,0,0,0,0
10,0,0,0,0,0,0,0
11,0,0,0,0,0,0,0
12,0,0,0,0,0,0,0
13,0,0,0,0,0,0,0
14,0,0,0,0,0,0,0
15,0,0,0,0,0,0,0
16,0,0,0,0,0,0,0
17,0,0,0,0,0,0,0
18,0,0,0,0,0,0,0
19,0,0,0,0,0,0,0
20,0,0,0,0,0,0,0
21,0,0,0,0,0,0,0
22,0,0,0,0,0,0,0
23,0,0,0,0,0,0,0
24,0,0,0,0,0,0,0
25,0,0,0,0,0,0,0
26,0,0,0,0,0,0,0
27,0,0,0,0,0,0,0
28,0,0,0,0,0,0,0
29,0,0,0,0,0,0,0
30,0,0,0,0,0,0,0
31,759,0,955,0,1618,418,0
32,1684,0,2274,0,3740,758,0
33,3295,0,3568,0,5838,1226,0
34,4485,0,4925,0,7458,1581,0
35,8167,0,7648,0,10803,2998,0
36,12212,0,10483,0,14219,4550,0
37,16269,0,13249,0,17743,6328,0
38,20212,0,16233,0,20818,7836,0
39,26831,0,19770,0,26322,10266,0
40,33035,0,23728,0,30883,12324,0
41,39207,21,28030,0,36560,14838,0
42,45642,241,31930,0,41741,17296,0
43,53814,1167,36654,0,47899,20433,0
44,61613,2739,41667,0,55044,23657,0
45,69732,5034,46708,0,62145,26857,0
46,77707,8451,51102,0,69066,30102,0
47,85503,12845,55249,0,76142,33643,0
48,93580,19879,58765,0,82787,37104,0
49,101070,31197,63598,0,89402,40240,0
50,109078,41703,67551,0,95703,42985,0
51,116389,54884,71234,0,103120,46573,0
52,124496,70291,75149,0,109534,49836,0
53,132116,87562,78245,0,116497,52510,0
54,139364,103727,81434,0,122603,56389,0
55,146635,119398,83767,0,130004,59576,0
56,153725,134037,86447,0,136744,62715,0
57,161082,148961,89919,0,142445,65879,0
58,167240,161057,92733,0,149553,68919,0
59,173857,173558,95145,0,156186,72160,0
60,180391,185243,98488,0,163463,75235,0
61,186211,205918,102213,0,168350,77985,0
62,190800,213077,110682,0,172804,80988,0
63,196224,219786,113438,0,177669,83911,0
64,201154,224695,115547,0,182519,86454,0
65,204364,243329,117617,0,186586,88545,0
66,207980,246387,127715,0,189639,90426,0
67,212241,248030,129620,0,193041,92121,0
68,215381,249824,131750,0,196771,93781,0
69,219145,264403,133607,0,198633,94948,0
70,222643,265678,140677,0,200421,95607,0
71,225405,266753,142816,0,201973,96528,0
72,228027,267105,144571,0,203768,97408,0
73,230530,280519,146220,0,203978,97848,0
74,232826,280659,150408,0,203978,97848,0
75,233945,280659,152536,0,203978,97848,0
