,Agent_Commerce($),Agent_Catering($),Agent_Health($),Agent_RecreationActiv($),Agent_Transport($),Agent_Hotel($),Agent_RealState($)
0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0
2,0,0,0,0,0,0,0
3,0,0,0,0,0,0,0
4,0,0,0,0,0,0,0
5,0,0,0,0,0,0,0
6,0,0,0,0,0,0,0
7,0,0,0,0,0,0,0
8,0,0,0,0,0,0,0
9,0,0,0,0,0,0,0
10,0,0,0,0,0,0,0
11,0,0,0,0,0,0,0
12,0,0,0,0,0,0,0
13,0,0,0,0,0,0,0
14,0,0,0,0,0,0,0
15,0,0,0,0,0,0,0
16,0,0,0,0,0,0,0
17,0,0,0,0,0,0,0
18,0,0,0,0,0,0,0
19,0,0,0,0,0,0,0
20,0,0,0,0,0,0,0
21,0,0,0,0,0,0,0
22,0,0,0,0,0,0,0
23,0,0,0,0,0,0,0
24,0,0,0,0,0,0,0
25,0,0,0,0,0,0,0
26,0,0,0,0,0,0,0
27,0,0,0,0,0,0,0
28,0,0,0,0,0,0,0
29,0,0,0,0,0,0,0
30,0,0,0,0,0,0,0
31,1139,0,1005,0,1894,980,0
32,3552,0,2389,0,3983,2067,0
33,5511,0,3717,0,6122,3167,0
34,8427,0,4802,0,8137,4216,0
35,12958,0,7271,0,12043,5839,0
36,17402,0,9556,0,15656,7749,0
37,21829,0,12322,0,19254,9860,0
38,26034,54,14770,0,23107,11580,0
39,32189,54,18889,0,27805,14297,0
40,37949,54,22534,0,33277,16975,0
41,43981,200,26274,0,38016,19844,0
42,49499,340,30367,0,43026,22559,0
43,56924,1111,34630,0,49715,25911,0
44,64633,4744,38432,0,56427,29238,0
45,72185,7212,42839,0,63560,32960,0
46,79602,11515,47120,0,69899,36430,0
47,87092,17515,51129,0,76759,39492,0
48,94429,24275,55277,0,83096,43165,0
49,101865,32629,59154,0,90158,46276,0
50,108867,43222,62825,0,96748,49839,0
51,116059,56386,65846,0,103269,53308,0
52,123382,70228,69390,0,109657,56650,0
53,130497,88180,72149,0,116641,59721,0
54,137344,103318,75044,0,123136,62992,0
55,144250,119390,77807,0,129630,66740,0
56,150767,134801,80414,0,135900,69505,0
57,157322,150222,83278,0,142874,73249,0
58,163012,163521,85621,0,149473,76688,0
59,168886,174699,87826,0,155889,79773,0
60,174441,184803,89351,0,161919,83203,0
61,179417,207660,92414,0,166901,85943,0
62,182588,216461,100840,0,172171,88267,0
63,186711,222563,102923,0,176340,90485,0
64,190201,226654,105173,0,181486,92781,0
65,193064,242696,107726,0,184801,94618,0
66,196233,245958,116110,0,187562,96245,0
67,199489,247988,118151,0,190319,97792,0
68,202968,249696,120034,0,193537,99257,0
69,205223,266049,121439,0,195618,100052,0
70,208190,266824,128314,0,197661,100749,0
71,210823,267261,130725,0,199035,101446,0
72,213665,267817,132256,0,200669,102165,0
73,215655,281840,133690,0,201003,102187,0
74,217536,282222,136706,0,201003,102187,0
75,218803,282375,137466,0,201003,102187,0
