,Agent_Commerce($),Agent_Catering($),Agent_Health($),Agent_RecreationActiv($),Agent_Transport($),Agent_Hotel($),Agent_RealState($)
0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0
2,0,0,0,0,0,0,0
3,0,0,0,0,0,0,0
4,0,0,0,0,0,0,0
5,0,0,0,0,0,0,0
6,0,0,0,0,0,0,0
7,0,0,0,0,0,0,0
8,0,0,0,0,0,0,0
9,0,0,0,0,0,0,0
10,0,0,0,0,0,0,0
11,0,0,0,0,0,0,0
12,0,0,0,0,0,0,0
13,0,0,0,0,0,0,0
14,0,0,0,0,0,0,0
15,0,0,0,0,0,0,0
16,0,0,0,0,0,0,0
17,0,0,0,0,0,0,0
18,0,0,0,0,0,0,0
19,0,0,0,0,0,0,0
20,0,0,0,0,0,0,0
21,0,0,0,0,0,0,0
22,0,0,0,0,0,0,0
23,0,0,0,0,0,0,0
24,0,0,0,0,0,0,0
25,0,0,0,0,0,0,0
26,0,0,0,0,0,0,0
27,0,0,0,0,0,0,0
28,0,0,0,0,0,0,0
29,0,0,0,0,0,0,0
30,0,0,0,0,0,0,0
31,1550,0,838,0,1027,617,0
32,4229,0,2213,0,2688,1633,0
33,7603,0,3388,0,3984,2514,0
34,11681,0,4604,0,5307,3330,0
35,17273,0,6890,0,8089,4883,0
36,22141,0,9173,0,11035,6478,0
37,27834,0,11226,0,14269,8265,0
38,32963,0,13251,0,16761,9797,0
39,40221,0,17344,0,21328,11381,0
40,47641,0,20428,0,25630,13766,0
41,55017,81,24076,0,29988,15541,0
42,62099,535,27120,0,34809,17361,0
43,70799,1365,32064,0,40817,20224,0
44,79865,2679,36855,0,47285,23304,0
45,88749,4709,40417,0,54085,26310,0
46,97144,8310,44924,0,60313,29133,0
47,105948,14189,48807,0,67491,32076,0
48,114782,22772,53061,0,73284,35038,0
49,123545,33458,57189,0,79638,37735,0
50,132255,44239,61364,0,86527,40808,0
51,140549,59045,64597,0,93293,43828,0
52,149193,73462,68008,0,98890,46593,0
53,157300,92815,71182,0,105750,49317,0
54,165147,110836,75438,0,112052,52125,0
55,173533,127591,77907,0,118497,55230,0
56,180460,143296,81454,0,124900,57801,0
57,188106,158904,83725,0,131205,60815,0
58,195282,173440,86115,0,137520,63659,0
59,202423,187491,88783,0,143612,66293,0
60,208609,198001,91797,0,150095,69367,0
61,214112,219942,95241,0,155246,71860,0
62,219341,227176,102237,0,160332,73723,0
63,224018,233973,104741,0,165511,75946,0
64,227957,238759,106571,0,170204,78104,0
65,231161,256124,108836,0,174838,79426,0
66,234918,259610,116713,0,177688,80890,0
67,239417,261838,118330,0,181105,82076,0
68,243250,262965,119789,0,184518,83458,0
69,245770,279024,121563,0,186798,84536,0
70,248796,279626,129329,0,188977,85692,0
71,252189,279978,131359,0,191218,86583,0
72,254458,280628,133772,0,193066,87332,0
73,255824,295992,135807,0,193505,87772,0
74,257409,296213,139719,0,193505,87772,0
75,258299,296316,140861,0,193505,87772,0
