,Agent_Commerce($),Agent_Catering($),Agent_Health($),Agent_RecreationActiv($),Agent_Transport($),Agent_Hotel($),Agent_RealState($)
0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0
2,0,0,0,0,0,0,0
3,0,0,0,0,0,0,0
4,0,0,0,0,0,0,0
5,0,0,0,0,0,0,0
6,0,0,0,0,0,0,0
7,0,0,0,0,0,0,0
8,0,0,0,0,0,0,0
9,0,0,0,0,0,0,0
10,0,0,0,0,0,0,0
11,0,0,0,0,0,0,0
12,0,0,0,0,0,0,0
13,0,0,0,0,0,0,0
14,0,0,0,0,0,0,0
15,0,0,0,0,0,0,0
16,0,0,0,0,0,0,0
17,0,0,0,0,0,0,0
18,0,0,0,0,0,0,0
19,0,0,0,0,0,0,0
20,0,0,0,0,0,0,0
21,0,0,0,0,0,0,0
22,0,0,0,0,0,0,0
23,0,0,0,0,0,0,0
24,0,0,0,0,0,0,0
25,0,0,0,0,0,0,0
26,0,0,0,0,0,0,0
27,0,0,0,0,0,0,0
28,0,0,0,0,0,0,0
29,0,0,0,0,0,0,0
30,0,0,0,0,0,0,0
31,789,0,993,0,1560,994,0
32,3099,0,2470,0,3441,1954,0
33,5204,0,3800,0,5238,2996,0
34,7868,0,4891,0,7401,3979,0
35,11289,0,7327,0,10201,5904,0
36,15562,0,9500,0,13834,7619,0
37,19298,0,11971,0,17030,10270,0
38,23129,0,14639,0,19975,11920,0
39,28738,130,18234,0,24506,14826,0
40,33948,162,21830,0,30161,17845,0
41,39859,319,25346,0,35106,20796,0
42,45367,734,29327,0,40209,23344,0
43,52666,1362,33710,0,46320,27090,0
44,60061,3546,38349,0,53071,30712,0
45,67921,5728,42136,0,60182,34329,0
46,75540,9407,47432,0,67569,38396,0
47,83224,14900,52344,0,74124,41864,0
48,91058,22257,56423,0,80491,45171,0
49,98241,32558,60985,0,87746,49228,0
50,105312,42660,65095,0,94337,52980,0
51,112573,56068,68315,0,100963,56585,0
52,120097,70518,72834,0,107588,60156,0
53,127038,85811,75997,0,114625,64044,0
54,134533,101814,79192,0,121026,67523,0
55,141409,121167,81805,0,128167,70722,0
56,148058,137891,85087,0,134124,74307,0
57,155071,151757,87723,0,140990,78051,0
58,160849,164634,90609,0,147381,82265,0
59,166525,176205,92967,0,154363,85087,0
60,172409,186601,95210,0,161099,89173,0
61,176792,206714,98899,0,166368,91798,0
62,181151,213748,106734,0,170949,94413,0
63,184413,219185,109195,0,175442,97472,0
64,187909,223449,111853,0,180402,99889,0
65,191716,240243,115297,0,184053,101593,0
66,194578,243289,123581,0,188084,103559,0
67,199083,245035,125738,0,191636,105079,0
68,202405,246240,127855,0,194523,106606,0
69,205708,261843,130469,0,197119,107583,0
70,210080,262306,137563,0,199030,108307,0
71,212936,262827,139491,0,200903,109143,0
72,215668,263141,140704,0,202663,110223,0
73,217068,279235,142634,0,203009,110250,0
74,219252,279673,146583,0,203009,110323,0
75,220677,279793,147571,0,203009,110323,0
