,Agent_Commerce($),Agent_Catering($),Agent_Health($),Agent_RecreationActiv($),Agent_Transport($),Agent_Hotel($),Agent_RealState($)
0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0
2,0,0,0,0,0,0,0
3,0,0,0,0,0,0,0
4,0,0,0,0,0,0,0
5,0,0,0,0,0,0,0
6,0,0,0,0,0,0,0
7,0,0,0,0,0,0,0
8,0,0,0,0,0,0,0
9,0,0,0,0,0,0,0
10,0,0,0,0,0,0,0
11,0,0,0,0,0,0,0
12,0,0,0,0,0,0,0
13,0,0,0,0,0,0,0
14,0,0,0,0,0,0,0
15,0,0,0,0,0,0,0
16,0,0,0,0,0,0,0
17,0,0,0,0,0,0,0
18,0,0,0,0,0,0,0
19,0,0,0,0,0,0,0
20,0,0,0,0,0,0,0
21,0,0,0,0,0,0,0
22,0,0,0,0,0,0,0
23,0,0,0,0,0,0,0
24,0,0,0,0,0,0,0
25,0,0,0,0,0,0,0
26,0,0,0,0,0,0,0
27,0,0,0,0,0,0,0
28,0,0,0,0,0,0,0
29,0,0,0,0,0,0,0
30,0,0,0,0,0,0,0
31,1294,0,1083,0,1719,723,0
32,2798,0,2335,0,3382,1486,0
33,5278,0,3673,0,5087,2212,0
34,6895,0,5353,0,6685,2930,0
35,11303,0,8083,0,10245,4696,0
36,16231,0,11049,0,13476,6582,0
37,20861,0,13844,0,17114,8367,0
38,25541,0,16997,0,20453,10086,0
39,31838,75,20962,0,25389,12362,0
40,38460,75,25052,0,30251,14730,0
41,44816,171,29498,0,34892,16968,0
42,51533,435,34024,0,39751,19082,0
43,59397,1053,38267,0,46194,22042,0
44,67895,2276,42421,0,52339,24872,0
45,76042,4718,47249,0,58573,27806,0
46,84253,8553,51766,0,64713,30609,0
47,92120,13107,56005,0,70872,33446,0
48,100358,21485,59774,0,76908,36051,0
49,108315,32105,63650,0,83060,38882,0
50,116129,42268,67357,0,89264,41824,0
51,124071,55382,70688,0,95372,44412,0
52,132276,71222,74302,0,101698,47064,0
53,139836,87689,78129,0,108037,50096,0
54,147119,103920,80962,0,113583,52446,0
55,154338,120705,84188,0,119876,55759,0
56,161080,138471,87060,0,126169,58412,0
57,167849,153472,89910,0,132193,61022,0
58,174679,168159,92583,0,138164,64056,0
59,181460,182118,95410,0,144383,66829,0
60,186770,194216,97744,0,150307,69736,0
61,191900,214722,100491,0,155264,71947,0
62,196206,222076,107832,0,160057,74327,0
63,199771,228109,110325,0,164645,76462,0
64,203598,232978,112534,0,169398,78444,0
65,207306,253239,115437,0,172799,79732,0
66,211839,256676,124810,0,175586,80967,0
67,216660,259248,127793,0,178578,82165,0
68,222520,261266,129659,0,181507,83200,0
69,226684,276887,131870,0,183391,83881,0
70,231495,278284,138190,0,184927,84616,0
71,235335,279064,141102,0,186366,85261,0
72,238399,279717,143076,0,187872,85905,0
73,239968,293423,144289,0,187952,85905,0
74,241137,293535,148817,0,187952,85905,0
75,242054,293726,150656,0,187952,85905,0
