,Agent_Commerce($),Agent_Catering($),Agent_Health($),Agent_RecreationActiv($),Agent_Transport($),Agent_Hotel($),Agent_RealState($)
0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0
2,0,0,0,0,0,0,0
3,0,0,0,0,0,0,0
4,0,0,0,0,0,0,0
5,0,0,0,0,0,0,0
6,0,0,0,0,0,0,0
7,0,0,0,0,0,0,0
8,0,0,0,0,0,0,0
9,0,0,0,0,0,0,0
10,0,0,0,0,0,0,0
11,0,0,0,0,0,0,0
12,0,0,0,0,0,0,0
13,0,0,0,0,0,0,0
14,0,0,0,0,0,0,0
15,0,0,0,0,0,0,0
16,0,0,0,0,0,0,0
17,0,0,0,0,0,0,0
18,0,0,0,0,0,0,0
19,0,0,0,0,0,0,0
20,0,0,0,0,0,0,0
21,0,0,0,0,0,0,0
22,0,0,0,0,0,0,0
23,0,0,0,0,0,0,0
24,0,0,0,0,0,0,0
25,0,0,0,0,0,0,0
26,0,0,0,0,0,0,0
27,0,0,0,0,0,0,0
28,0,0,0,0,0,0,0
29,0,0,0,0,0,0,0
30,0,0,0,0,0,0,0
31,1108,0,921,0,1539,606,0
32,3231,0,2591,0,3533,1178,0
33,5493,0,4096,0,5234,1736,0
34,7349,0,5421,0,7286,2321,0
35,12239,0,7580,0,10485,3629,0
36,16755,0,9943,0,13343,4945,0
37,21487,0,12033,0,16756,6231,0
38,26042,0,14109,0,20027,7586,0
39,31925,0,17011,0,24674,9895,0
40,37958,75,20699,0,29412,12194,0
41,43757,160,24294,0,34283,15037,0
42,49656,415,27264,0,39035,17615,0
43,57501,1220,32284,0,45246,21385,0
44,65468,2848,36786,0,52144,24589,0
45,73226,5190,41307,0,58781,28577,0
46,80865,8644,45384,0,65630,32133,0
47,88640,13946,49950,0,72299,35530,0
48,96639,20651,55473,0,78773,39053,0
49,104305,29065,59670,0,85427,42804,0
50,111778,38043,64795,0,92409,46330,0
51,119032,51033,68622,0,98389,49622,0
52,126550,66426,72627,0,105063,53759,0
53,133881,82863,75996,0,111229,57078,0
54,140436,98969,79102,0,117920,60539,0
55,148018,115533,82038,0,124656,63663,0
56,155495,131392,84158,0,131026,67409,0
57,161998,145987,86463,0,137482,70772,0
58,168429,158982,89059,0,144134,74224,0
59,173831,172639,91252,0,150082,78108,0
60,180152,184978,93644,0,156863,81867,0
61,184946,206044,96929,0,161729,84828,0
62,189085,214263,105281,0,166436,87373,0
63,193780,220650,108176,0,171493,90685,0
64,197202,225955,110335,0,175923,92762,0
65,201089,243750,112172,0,179793,95528,0
66,204481,246266,121739,0,182842,98323,0
67,208851,248201,124460,0,186246,100294,0
68,212424,250227,127091,0,190163,102387,0
69,215176,265675,128999,0,192082,103856,0
70,218818,266296,135468,0,193549,105176,0
71,221212,266794,136865,0,195587,105986,0
72,223208,267199,138677,0,196799,107310,0
73,225019,281334,140624,0,197742,107553,0
74,226862,281514,145570,0,197742,107553,0
75,227899,281672,147234,0,197742,107553,0
