,Agent_Commerce($),Agent_Catering($),Agent_Health($),Agent_RecreationActiv($),Agent_Transport($),Agent_Hotel($),Agent_RealState($)
0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0
2,0,0,0,0,0,0,0
3,0,0,0,0,0,0,0
4,0,0,0,0,0,0,0
5,0,0,0,0,0,0,0
6,0,0,0,0,0,0,0
7,0,0,0,0,0,0,0
8,0,0,0,0,0,0,0
9,0,0,0,0,0,0,0
10,0,0,0,0,0,0,0
11,0,0,0,0,0,0,0
12,0,0,0,0,0,0,0
13,0,0,0,0,0,0,0
14,0,0,0,0,0,0,0
15,0,0,0,0,0,0,0
16,0,0,0,0,0,0,0
17,0,0,0,0,0,0,0
18,0,0,0,0,0,0,0
19,0,0,0,0,0,0,0
20,0,0,0,0,0,0,0
21,0,0,0,0,0,0,0
22,0,0,0,0,0,0,0
23,0,0,0,0,0,0,0
24,0,0,0,0,0,0,0
25,0,0,0,0,0,0,0
26,0,0,0,0,0,0,0
27,0,0,0,0,0,0,0
28,0,0,0,0,0,0,0
29,0,0,0,0,0,0,0
30,0,0,0,0,0,0,0
31,831,0,1012,0,1721,762,0
32,2574,0,2235,0,3583,1510,0
33,4701,0,3482,0,5343,2227,0
34,6838,0,4694,0,7086,2975,0
35,10281,0,6883,0,10293,4983,0
36,14643,0,9363,0,13420,6964,0
37,18489,0,11680,0,16636,8921,0
38,22580,47,14472,0,19714,10851,0
39,28025,47,18052,0,24391,13062,0
40,33526,175,21144,0,29079,15414,0
41,39143,537,24990,0,33494,17576,0
42,45020,1075,28155,0,37848,19818,0
43,52490,2321,32746,0,44330,23247,0
44,60272,4372,37417,0,50241,26834,0
45,67793,6295,41436,0,56267,30027,0
46,75541,10583,46352,0,62398,33583,0
47,83408,15872,50623,0,68239,37089,0
48,90748,22623,54454,0,73895,40208,0
49,98535,32028,58657,0,79834,43513,0
50,105781,44897,62817,0,85670,47012,0
51,113422,57738,65838,0,91633,50253,0
52,120571,73277,68985,0,97651,53111,0
53,127380,88077,71969,0,103024,56469,0
54,135100,106267,75449,0,109065,59982,0
55,141665,122487,78473,0,114851,63569,0
56,148548,137485,81111,0,120551,66921,0
57,154307,151784,83074,0,126409,70233,0
58,160100,166344,85564,0,132775,73360,0
59,165853,178858,87926,0,138009,76762,0
60,170839,190538,89697,0,143747,79922,0
61,175575,210434,92413,0,149142,82974,0
62,178909,218138,98784,0,153389,85710,0
63,183398,224853,101301,0,157488,88069,0
64,188253,229605,103069,0,161900,90746,0
65,191968,249034,106006,0,165392,92413,0
66,195784,252428,115229,0,168139,94026,0
67,200530,255090,118328,0,171042,95591,0
68,206431,256226,120416,0,174062,97093,0
69,210500,271864,122812,0,176133,98242,0
70,214991,272593,130217,0,177710,99404,0
71,220381,273124,132971,0,179009,100622,0
72,224688,273607,135840,0,180818,101731,0
73,227133,289528,137548,0,181001,101776,0
74,227968,289699,142630,0,181001,101776,0
75,228304,289805,145033,0,181001,101776,0
