,Agent_Commerce($),Agent_Catering($),Agent_Health($),Agent_RecreationActiv($),Agent_Transport($),Agent_Hotel($),Agent_RealState($)
0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0
2,0,0,0,0,0,0,0
3,0,0,0,0,0,0,0
4,0,0,0,0,0,0,0
5,0,0,0,0,0,0,0
6,0,0,0,0,0,0,0
7,0,0,0,0,0,0,0
8,0,0,0,0,0,0,0
9,0,0,0,0,0,0,0
10,0,0,0,0,0,0,0
11,0,0,0,0,0,0,0
12,0,0,0,0,0,0,0
13,0,0,0,0,0,0,0
14,0,0,0,0,0,0,0
15,0,0,0,0,0,0,0
16,0,0,0,0,0,0,0
17,0,0,0,0,0,0,0
18,0,0,0,0,0,0,0
19,0,0,0,0,0,0,0
20,0,0,0,0,0,0,0
21,0,0,0,0,0,0,0
22,0,0,0,0,0,0,0
23,0,0,0,0,0,0,0
24,0,0,0,0,0,0,0
25,0,0,0,0,0,0,0
26,0,0,0,0,0,0,0
27,0,0,0,0,0,0,0
28,0,0,0,0,0,0,0
29,0,0,0,0,0,0,0
30,0,0,0,0,0,0,0
31,873,0,1088,0,1659,767,0
32,2734,0,2287,0,3437,1521,0
33,4928,0,3862,0,5153,2266,0
34,6699,0,5241,0,6832,2999,0
35,10681,0,7293,0,10129,4382,0
36,14624,0,10301,0,13575,5746,0
37,18883,0,13354,0,16868,7088,0
38,22904,0,15717,0,20109,8277,0
39,28901,0,19376,0,24816,10505,0
40,35715,147,23314,0,29323,12629,0
41,42100,342,26828,0,34084,14955,0
42,48682,661,30405,0,38439,17045,0
43,56210,1478,34696,0,44188,19853,0
44,64669,3529,39865,0,49975,22466,0
45,73077,5217,44690,0,56315,25625,0
46,80792,9065,48757,0,62367,28654,0
47,88692,13510,53137,0,67930,31651,0
48,96724,19659,56958,0,73790,34577,0
49,104296,28609,61363,0,79788,37605,0
50,111821,39664,65057,0,86058,40548,0
51,119749,52457,68932,0,91668,43385,0
52,127729,67481,72369,0,98053,46280,0
53,135072,84640,76061,0,103589,49092,0
54,142528,102293,78838,0,108768,51884,0
55,149330,117748,81524,0,115309,54934,0
56,157066,135421,84611,0,121556,57681,0
57,164201,151281,87320,0,127098,60508,0
58,170847,166582,89730,0,132663,63678,0
59,177215,177976,92156,0,138715,66514,0
60,183215,189131,94218,0,144069,69305,0
61,187499,209867,97748,0,149474,72083,0
62,192217,217745,104365,0,154067,73734,0
63,196210,223553,107320,0,158034,76224,0
64,200200,228349,109311,0,162359,78383,0
65,203514,246506,112292,0,165865,80165,0
66,207426,250343,121072,0,168552,81830,0
67,212329,252899,123978,0,170908,83204,0
68,216999,254399,126079,0,174097,85108,0
69,220173,270825,127176,0,175774,86031,0
70,224046,271581,135659,0,177179,86770,0
71,228123,272457,137742,0,178710,87680,0
72,231267,272814,139714,0,180031,88468,0
73,233593,286803,141614,0,180241,88481,0
74,235251,286819,146181,0,180241,88481,0
75,236742,287057,147838,0,180241,88481,0
