,Agent_Commerce($),Agent_Catering($),Agent_Health($),Agent_RecreationActiv($),Agent_Transport($),Agent_Hotel($),Agent_RealState($)
0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0
2,0,0,0,0,0,0,0
3,0,0,0,0,0,0,0
4,0,0,0,0,0,0,0
5,0,0,0,0,0,0,0
6,0,0,0,0,0,0,0
7,0,0,0,0,0,0,0
8,0,0,0,0,0,0,0
9,0,0,0,0,0,0,0
10,0,0,0,0,0,0,0
11,0,0,0,0,0,0,0
12,0,0,0,0,0,0,0
13,0,0,0,0,0,0,0
14,0,0,0,0,0,0,0
15,0,0,0,0,0,0,0
16,0,0,0,0,0,0,0
17,0,0,0,0,0,0,0
18,0,0,0,0,0,0,0
19,0,0,0,0,0,0,0
20,0,0,0,0,0,0,0
21,0,0,0,0,0,0,0
22,0,0,0,0,0,0,0
23,0,0,0,0,0,0,0
24,0,0,0,0,0,0,0
25,0,0,0,0,0,0,0
26,0,0,0,0,0,0,0
27,0,0,0,0,0,0,0
28,0,0,0,0,0,0,0
29,0,0,0,0,0,0,0
30,0,0,0,0,0,0,0
31,961,0,1036,0,1463,698,0
32,3468,0,2373,0,3393,1677,0
33,5742,0,3757,0,5142,2423,0
34,8550,0,5155,0,6983,3203,0
35,13146,0,7364,0,10180,4977,0
36,17806,0,9828,0,13348,6509,0
37,22812,0,12296,0,16903,8251,0
38,27690,0,14988,0,20282,9969,0
39,34065,86,18129,0,24507,12118,0
40,40774,169,21616,0,29913,14388,0
41,47079,277,25142,0,34311,16543,0
42,53518,487,28620,0,38859,19051,0
43,61737,1375,32824,0,45801,22018,0
44,69174,3082,38361,0,51713,25088,0
45,77413,5943,42791,0,58082,28213,0
46,85627,9248,46922,0,64583,31326,0
47,93690,14406,51675,0,70702,34628,0
48,101425,21054,56142,0,77495,37190,0
49,109415,30807,59800,0,83662,40277,0
50,117549,42237,64264,0,90740,43231,0
51,124750,55243,67897,0,96812,46725,0
52,132450,69653,70910,0,103597,49482,0
53,139663,84962,74487,0,109730,52401,0
54,147288,101030,77865,0,115810,55653,0
55,154608,115839,80890,0,122318,58642,0
56,160928,130579,84457,0,128730,61444,0
57,168130,144244,86810,0,134867,64247,0
58,174726,157732,89196,0,140918,67290,0
59,182094,168426,92029,0,147595,70292,0
60,187713,176534,94354,0,153478,73771,0
61,192150,199045,97524,0,158350,75525,0
62,195898,206910,106236,0,163309,77630,0
63,199823,212360,108807,0,168263,79932,0
64,203457,216953,110899,0,172513,82065,0
65,206585,233769,112633,0,176129,83689,0
66,210411,236322,121248,0,178854,85133,0
67,214462,238658,123177,0,181889,86639,0
68,218023,240443,125555,0,184774,88233,0
69,220796,253899,127525,0,187210,89078,0
70,223952,254319,132746,0,188598,89803,0
71,227272,255311,134209,0,190753,90448,0
72,229421,255825,136245,0,192556,91013,0
73,231203,268967,137925,0,192891,91405,0
74,233310,269141,142194,0,192891,91428,0
75,234374,269141,143751,0,192891,91428,0
