,Agent_Commerce($),Agent_Catering($),Agent_Health($),Agent_RecreationActiv($),Agent_Transport($),Agent_Hotel($),Agent_RealState($)
0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0
2,0,0,0,0,0,0,0
3,0,0,0,0,0,0,0
4,0,0,0,0,0,0,0
5,0,0,0,0,0,0,0
6,0,0,0,0,0,0,0
7,0,0,0,0,0,0,0
8,0,0,0,0,0,0,0
9,0,0,0,0,0,0,0
10,0,0,0,0,0,0,0
11,0,0,0,0,0,0,0
12,0,0,0,0,0,0,0
13,0,0,0,0,0,0,0
14,0,0,0,0,0,0,0
15,0,0,0,0,0,0,0
16,0,0,0,0,0,0,0
17,0,0,0,0,0,0,0
18,0,0,0,0,0,0,0
19,0,0,0,0,0,0,0
20,0,0,0,0,0,0,0
21,0,0,0,0,0,0,0
22,0,0,0,0,0,0,0
23,0,0,0,0,0,0,0
24,0,0,0,0,0,0,0
25,0,0,0,0,0,0,0
26,0,0,0,0,0,0,0
27,0,0,0,0,0,0,0
28,0,0,0,0,0,0,0
29,0,0,0,0,0,0,0
30,0,0,0,0,0,0,0
31,1165,0,622,0,1604,1009,0
32,3635,0,1732,0,3742,2317,0
33,6901,0,2609,0,5780,3456,0
34,9902,0,3520,0,7981,4471,0
35,15076,0,5320,0,11301,6305,0
36,20285,0,8004,0,15078,7876,0
37,25530,0,10183,0,18835,9529,0
38,31069,0,12714,0,22268,11332,0
39,37988,0,16386,0,28006,13817,0
40,44693,0,19543,0,32764,16521,0
41,51455,191,22635,0,38158,19231,0
42,57683,495,25870,0,43585,21257,0
43,66467,997,30380,0,50500,24793,0
44,74555,2693,34046,0,56983,28175,0
45,83013,5503,37634,0,64062,31936,0
46,91644,9401,41848,0,70020,35194,0
47,99859,14915,44996,0,77736,38628,0
48,107939,21341,48859,0,83764,42342,0
49,116381,29869,51931,0,91222,46093,0
50,124658,39727,55657,0,97799,49068,0
51,132161,53757,59188,0,104079,52557,0
52,140602,68371,62865,0,111292,56618,0
53,148334,84452,65778,0,118039,59819,0
54,155812,100234,69298,0,124340,63200,0
55,163809,117594,71681,0,131231,66695,0
56,171310,133504,74795,0,138086,69837,0
57,178681,147875,77350,0,144446,73614,0
58,185547,163553,79334,0,150848,76616,0
59,192279,176387,82006,0,157754,79574,0
60,197679,185790,84102,0,164453,83013,0
61,202774,209596,87320,0,169142,86268,0
62,206739,218644,94730,0,173764,88154,0
63,210834,225387,97103,0,178610,90615,0
64,214593,230614,99305,0,183612,93242,0
65,217913,249344,101141,0,187273,94854,0
66,221007,251955,108919,0,190042,96506,0
67,225859,254120,111098,0,193365,98295,0
68,228572,255971,113244,0,196112,100027,0
69,231946,269652,115821,0,198295,101222,0
70,235105,270427,120384,0,200017,101910,0
71,237899,270558,122048,0,201237,103010,0
72,239875,270769,123924,0,202717,103909,0
73,242033,284501,125316,0,203132,104147,0
74,243684,284552,129016,0,203132,104186,0
75,244974,284683,130500,0,203132,104186,0
