,Agent_Commerce($),Agent_Catering($),Agent_Health($),Agent_RecreationActiv($),Agent_Transport($),Agent_Hotel($),Agent_RealState($)
0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0
2,0,0,0,0,0,0,0
3,0,0,0,0,0,0,0
4,0,0,0,0,0,0,0
5,0,0,0,0,0,0,0
6,0,0,0,0,0,0,0
7,0,0,0,0,0,0,0
8,0,0,0,0,0,0,0
9,0,0,0,0,0,0,0
10,0,0,0,0,0,0,0
11,0,0,0,0,0,0,0
12,0,0,0,0,0,0,0
13,0,0,0,0,0,0,0
14,0,0,0,0,0,0,0
15,0,0,0,0,0,0,0
16,0,0,0,0,0,0,0
17,0,0,0,0,0,0,0
18,0,0,0,0,0,0,0
19,0,0,0,0,0,0,0
20,0,0,0,0,0,0,0
21,0,0,0,0,0,0,0
22,0,0,0,0,0,0,0
23,0,0,0,0,0,0,0
24,0,0,0,0,0,0,0
25,0,0,0,0,0,0,0
26,0,0,0,0,0,0,0
27,0,0,0,0,0,0,0
28,0,0,0,0,0,0,0
29,0,0,0,0,0,0,0
30,0,0,0,0,0,0,0
31,763,0,1325,0,1941,1166,0
32,3848,0,3108,0,3660,2337,0
33,6679,0,4475,0,5939,3422,0
34,9644,0,6084,0,8144,4881,0
35,14065,0,8655,0,11348,6748,0
36,18419,0,12282,0,14671,8433,0
37,22689,0,14872,0,18470,10282,0
38,26551,0,17902,0,21666,12418,0
39,33171,79,21985,0,26656,15020,0
40,39602,113,25643,0,32024,17442,0
41,46091,211,29613,0,36988,20176,0
42,52652,475,33113,0,41985,22660,0
43,60822,1579,38518,0,48724,25961,0
44,68935,2930,42591,0,55518,29611,0
45,77518,6308,47466,0,62099,33519,0
46,85710,10270,51503,0,68797,36584,0
47,93881,15951,56384,0,75450,40544,0
48,101737,24206,60585,0,82491,43778,0
49,109840,32502,64681,0,88441,47363,0
50,118215,44635,68969,0,95826,51023,0
51,126276,58051,72734,0,102105,54456,0
52,134041,72904,76667,0,108703,57611,0
53,142159,89489,79609,0,115307,61631,0
54,149001,104871,82722,0,121253,65110,0
55,157159,122130,85211,0,128200,68308,0
56,164870,138231,88651,0,134906,72303,0
57,172116,153908,91737,0,141223,75396,0
58,178663,167408,94781,0,147717,79022,0
59,185559,179715,97741,0,154631,81942,0
60,191453,189405,99903,0,160640,85937,0
61,196010,212664,104173,0,166278,88364,0
62,200206,221106,112751,0,170254,90639,0
63,204497,226216,115887,0,175350,92950,0
64,208461,231488,118277,0,179872,95096,0
65,211305,248003,121113,0,183092,97310,0
66,214862,250934,128673,0,186447,99035,0
67,219191,253914,131541,0,189801,100513,0
68,222328,255929,133842,0,192767,102293,0
69,225045,270560,135613,0,194479,103465,0
70,229215,271434,141693,0,196165,104281,0
71,232716,271699,143512,0,197910,105354,0
72,235251,272071,145978,0,199552,106135,0
73,237067,285638,148066,0,199834,106545,0
74,239284,285695,151924,0,199834,106545,0
75,240642,285754,153003,0,199834,106545,0
