,Commerce,Catering,Health,Recreational Activities,Transport,Hotel,Real State
0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0
2,0,0,0,0,0,0,0
3,0,0,0,0,0,0,0
4,0,0,0,0,0,0,0
5,0,0,0,0,0,0,0
6,0,0,0,0,0,0,0
7,0,0,0,0,0,0,0
8,0,0,0,0,0,0,0
9,0,0,0,0,0,0,0
10,0,0,0,0,0,0,0
11,0,0,0,0,0,0,0
12,0,0,0,0,0,0,0
13,0,0,0,0,0,0,0
14,0,0,0,0,0,0,0
15,0,0,0,0,0,0,0
16,0,0,0,0,0,0,0
17,0,0,0,0,0,0,0
18,0,0,0,0,0,0,0
19,0,0,0,0,0,0,0
20,0,0,0,0,0,0,0
21,0,0,0,0,0,0,0
22,0,0,0,0,0,0,0
23,0,0,0,0,0,0,0
24,0,0,0,0,0,0,0
25,0,0,0,0,0,0,0
26,0,0,0,0,0,0,0
27,0,0,0,0,0,0,0
28,0,0,0,0,0,0,0
29,0,0,0,0,0,0,0
30,0,0,0,0,0,0,0
31,14,0,18,0,35,16,0
32,48,0,43,0,82,32,0
33,90,0,68,0,125,50,0
34,125,0,91,0,172,66,0
35,205,0,135,0,233,90,0
36,277,0,181,0,305,122,0
37,356,0,228,0,374,147,0
38,433,0,279,0,439,166,0
39,547,0,339,0,531,213,0
40,665,1,408,0,619,255,0
41,779,5,462,0,718,293,0
42,901,17,526,0,813,332,0
43,1040,28,611,0,928,393,0
44,1184,50,688,0,1055,452,0
45,1326,93,768,0,1175,511,0
46,1469,151,846,0,1301,568,0
47,1612,246,926,0,1417,633,0
48,1750,375,1001,0,1540,697,0
49,1887,558,1073,0,1674,755,0
50,2034,762,1132,0,1785,823,0
51,2171,978,1195,0,1910,885,0
52,2314,1234,1254,0,2027,944,0
53,2449,1534,1303,0,2153,1011,0
54,2591,1846,1359,0,2266,1070,0
55,2727,2137,1413,0,2397,1131,0
56,2865,2391,1467,0,2519,1194,0
57,2981,2638,1521,0,2639,1246,0
58,3111,2860,1568,0,2760,1314,0
59,3241,3076,1615,0,2890,1376,0
60,3346,3265,1662,0,3019,1437,0
61,3457,3660,1715,0,3099,1482,0
62,3541,3810,1874,0,3183,1527,0
63,3618,3934,1903,0,3256,1583,0
64,3683,4015,1944,0,3326,1617,0
65,3746,4349,1988,0,3402,1656,0
66,3824,4403,2132,0,3447,1694,0
67,3891,4437,2175,0,3505,1720,0
68,3961,4460,2217,0,3555,1755,0
69,4013,4721,2257,0,3595,1785,0
70,4069,4738,2379,0,3629,1809,0
71,4127,4751,2417,0,3653,1835,0
72,4164,4754,2447,0,3680,1854,0
73,4197,4992,2486,0,3690,1859,0
74,4224,4994,2569,0,3690,1860,0
75,4243,4997,2595,0,3690,1860,0
76,4255,4999,2613,0,3690,1860,0
77,4265,4999,2634,0,3690,1860,0
78,4274,5000,2653,0,3690,1860,0
79,4278,5000,2668,0,3690,1860,0
80,4284,5000,2679,0,3690,1860,0
