,Agent_Commerce($),Agent_Catering($),Agent_Health($),Agent_RecreationActiv($),Agent_Transport($),Agent_Hotel($),Agent_RealState($)
0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0
2,0,0,0,0,0,0,0
3,0,0,0,0,0,0,0
4,0,0,0,0,0,0,0
5,0,0,0,0,0,0,0
6,0,0,0,0,0,0,0
7,0,0,0,0,0,0,0
8,0,0,0,0,0,0,0
9,0,0,0,0,0,0,0
10,0,0,0,0,0,0,0
11,0,0,0,0,0,0,0
12,0,0,0,0,0,0,0
13,0,0,0,0,0,0,0
14,0,0,0,0,0,0,0
15,0,0,0,0,0,0,0
16,0,0,0,0,0,0,0
17,0,0,0,0,0,0,0
18,0,0,0,0,0,0,0
19,0,0,0,0,0,0,0
20,0,0,0,0,0,0,0
21,0,0,0,0,0,0,0
22,0,0,0,0,0,0,0
23,0,0,0,0,0,0,0
24,0,0,0,0,0,0,0
25,0,0,0,0,0,0,0
26,0,0,0,0,0,0,0
27,0,0,0,0,0,0,0
28,0,0,0,0,0,0,0
29,0,0,0,0,0,0,0
30,0,0,0,0,0,0,0
31,922,0,903,0,1952,1179,0
32,2958,0,2478,0,4637,2055,0
33,5253,0,3708,0,6892,3220,0
34,7783,0,4802,0,8983,4337,0
35,11709,0,7150,0,13016,6108,0
36,16437,0,9639,0,16814,8014,0
37,20562,0,12028,0,20259,9566,0
38,24675,0,14497,0,24558,11328,0
39,30443,0,17977,0,29826,13971,0
40,36360,123,21101,0,36008,16604,0
41,42340,286,24679,0,42113,19252,0
42,48379,982,27864,0,47475,22042,0
43,56359,2086,32623,0,54541,25171,0
44,64801,3701,36703,0,61272,28715,0
45,73041,6482,41657,0,68458,32327,0
46,81198,10180,45915,0,75149,35521,0
47,89088,15823,50036,0,82150,39180,0
48,97065,23073,53961,0,89400,42458,0
49,105234,31470,58227,0,95627,45753,0
50,112975,43598,62327,0,102920,49260,0
51,121103,56566,66337,0,109248,52496,0
52,128826,71582,69479,0,116157,55780,0
53,136683,86264,73711,0,123286,59327,0
54,144237,105970,76776,0,129992,62690,0
55,151362,125211,79493,0,136259,65561,0
56,158836,142307,82800,0,143083,69154,0
57,166188,155935,85414,0,150058,72759,0
58,172724,170652,88829,0,156297,76079,0
59,179053,181981,91952,0,163391,79141,0
60,185764,192752,94160,0,169951,82280,0
61,190997,215208,97748,0,174610,84951,0
62,195360,222400,105885,0,179371,87125,0
63,199582,228012,108901,0,183674,89304,0
64,203888,233590,110820,0,188269,91412,0
65,208316,251620,113822,0,191614,93194,0
66,212371,255274,121550,0,194669,94839,0
67,216821,257665,123687,0,197334,96537,0
68,220752,258858,126086,0,200071,98336,0
69,223424,275000,128353,0,202033,99112,0
70,227383,275453,135008,0,203335,99928,0
71,231456,276044,136834,0,204316,100749,0
72,234227,276409,138417,0,205380,101492,0
73,236438,290455,140401,0,205448,101608,0
74,238275,290592,145156,0,205448,101657,0
75,238955,290765,146324,0,205448,101657,0
