,Agent_Commerce($),Agent_Catering($),Agent_Health($),Agent_RecreationActiv($),Agent_Transport($),Agent_Hotel($),Agent_RealState($),,,,,,
0,0,0,0,0,0,0,0,,,,,,
1,0,0,0,0,0,0,0,,,,,,
2,0,0,0,0,0,0,0,,,,,,
3,0,0,0,0,0,0,0,,,,,,
4,0,0,0,0,0,0,0,,,,,,
5,0,0,0,0,0,0,0,,,,,,
6,0,0,0,0,0,0,0,,,,,,
7,0,0,0,0,0,0,0,,,,,,
8,0,0,0,0,0,0,0,,,,,,
9,0,0,0,0,0,0,0,,,,,,
10,0,0,0,0,0,0,0,,,,,,
11,0,0,0,0,0,0,0,,,,,,
12,0,0,0,0,0,0,0,,,,,,
13,0,0,0,0,0,0,0,,,,,,
14,0,0,0,0,0,0,0,,,,,,
15,0,0,0,0,0,0,0,,,,,,
16,0,0,0,0,0,0,0,,,,,,
17,0,0,0,0,0,0,0,,,,,,
18,0,0,0,0,0,0,0,,,,,,
19,0,0,0,0,0,0,0,,,,,,
20,0,0,0,0,0,0,0,,,,,,
21,0,0,0,0,0,0,0,,,,,,
22,0,0,0,0,0,0,0,,,,,,
23,0,0,0,0,0,0,0,,,,,,
24,0,0,0,0,0,0,0,,,,,,
25,0,0,0,0,0,0,0,,,,,,
26,0,0,0,0,0,0,0,,,,,,
27,0,0,0,0,0,0,0,,,,,,
28,0,0,0,0,0,0,0,,,,,,
29,0,0,0,0,0,0,0,,,,,,
30,0,0,0,0,0,0,0,,,,,,
31,1108,0,1043,0,1896,499,0,,,,,,
32,3076,0,2312,0,4471,1065,0,,,,,,
33,5337,0,3392,0,6838,1596,0,,,,,,
34,7488,0,4602,0,8602,2125,0,,,,,,
35,11556,0,7257,0,12482,3565,0,,,,,,
36,15958,0,9772,0,15992,5114,0,,,,,,
37,20026,0,11830,0,19052,6778,0,,,,,,
38,23800,0,14369,0,22310,8124,0,,,,,,
39,29484,0,17944,0,27765,10575,0,,,,,,
40,35790,100,21240,0,32740,12978,0,,,,,,
41,41503,123,24927,0,37874,15329,0,,,,,,
42,47517,662,27969,0,43101,18058,0,,,,,,
43,54702,1500,33133,0,49386,21128,0,,,,,,
44,62919,3016,37681,0,56939,24652,0,,,,,,
45,70400,5347,41613,0,63593,27880,0,,,,,,
46,77788,9239,46385,0,70512,31148,0,,,,,,
47,85305,14469,50937,0,77401,34528,0,,,,,,
48,92824,21629,54822,0,84353,38183,0,,,,,,
49,100545,29490,58805,0,90580,41298,0,,,,,,
50,107343,40667,62774,0,97980,44619,0,,,,,,
51,114676,53603,66766,0,104959,48026,0,,,,,,
52,122251,67300,69925,0,111313,51396,0,,,,,,
53,129348,82455,73417,0,118242,54720,0,,,,,,
54,135681,98425,76976,0,125106,57854,0,,,,,,
55,143101,116796,79861,0,131439,61022,0,,,,,,
56,149892,133900,83102,0,138235,64184,0,,,,,,
57,156085,148120,85716,0,145206,67686,0,,,,,,
58,162409,163287,88095,0,151355,70848,0,,,,,,
