,Agent_Commerce($),Agent_Catering($),Agent_Health($),Agent_RecreationActiv($),Agent_Transport($),Agent_Hotel($),Agent_RealState($)
0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0
2,0,0,0,0,0,0,0
3,0,0,0,0,0,0,0
4,0,0,0,0,0,0,0
5,0,0,0,0,0,0,0
6,0,0,0,0,0,0,0
7,0,0,0,0,0,0,0
8,0,0,0,0,0,0,0
9,0,0,0,0,0,0,0
10,0,0,0,0,0,0,0
11,0,0,0,0,0,0,0
12,0,0,0,0,0,0,0
13,0,0,0,0,0,0,0
14,0,0,0,0,0,0,0
15,0,0,0,0,0,0,0
16,0,0,0,0,0,0,0
17,0,0,0,0,0,0,0
18,0,0,0,0,0,0,0
19,0,0,0,0,0,0,0
20,0,0,0,0,0,0,0
21,0,0,0,0,0,0,0
22,0,0,0,0,0,0,0
23,0,0,0,0,0,0,0
24,0,0,0,0,0,0,0
25,0,0,0,0,0,0,0
26,0,0,0,0,0,0,0
27,0,0,0,0,0,0,0
28,0,0,0,0,0,0,0
29,0,0,0,0,0,0,0
30,0,0,0,0,0,0,0
31,1195,0,1371,0,1179,726,0
32,3310,0,3180,0,2584,1561,0
33,5551,0,4842,0,4531,2258,0
34,7977,0,6145,0,6171,3003,0
35,11790,0,8482,0,9434,4437,0
36,16388,0,12494,0,13202,5753,0
37,20405,0,15325,0,16811,7363,0
38,24350,0,18136,0,20545,8665,0
39,30636,0,22928,0,25665,10989,0
40,36197,37,26872,0,30875,13162,0
41,42238,266,31186,0,36160,15360,0
42,48396,549,35011,0,41295,17522,0
43,56044,1176,40890,0,48740,20496,0
44,63703,3031,45070,0,56121,23446,0
45,71559,5218,49970,0,62753,26727,0
46,79609,8953,55084,0,70721,29805,0
47,87075,14217,59677,0,77797,32852,0
48,94683,20974,64172,0,84763,35537,0
49,102567,31028,67232,0,91842,38775,0
50,109329,42452,71756,0,99101,41847,0
51,116526,55742,75932,0,106154,45031,0
52,124291,71012,79772,0,112904,47664,0
53,132025,87217,82755,0,120037,51003,0
54,138661,100761,85421,0,126859,54052,0
55,145502,116609,88180,0,133719,57154,0
56,152480,132798,90671,0,141326,59903,0
57,159153,148153,93020,0,148330,62936,0
58,165244,163366,95427,0,155565,65810,0
59,171621,176549,98024,0,163037,69041,0
60,177529,187149,100083,0,169297,71992,0
61,182233,208698,104586,0,175696,74388,0
62,186472,216207,114028,0,181113,76270,0
63,189949,223985,116686,0,186754,78859,0
64,193747,228840,118927,0,191929,81331,0
65,197162,247697,121178,0,196268,83258,0
66,200807,251043,130672,0,199854,84789,0
67,204355,253029,133251,0,203490,86524,0
68,208232,254865,135970,0,207029,88109,0
69,211427,270153,137800,0,209419,88999,0
70,214165,271060,144449,0,211111,89963,0
71,218066,271794,146077,0,213190,90744,0
72,220274,272189,148021,0,215058,91572,0
73,221539,287082,149589,0,215591,91795,0
74,224081,287269,153469,0,215615,91795,0
75,225389,287342,154409,0,215615,91795,0
