,Food,Health,Amusement,Basic Goods,Funds
0,100.0,100.0,100.0,100.0,1000.0
1,98.5188,98.916,99.5036,97.4966,1000.0
2,97.0082,97.948,99.0094,94.9916,1000.0
3,95.496,96.93,98.5108,92.4558,1000.0
4,93.994,95.928,97.998,89.9512,1000.0
5,92.4722,94.92,97.5012,87.4676,1000.0
6,90.9904,93.884,97.0062,84.9946,1000.0
7,89.4702,92.79,96.4988,82.4564,1000.0
8,87.9444,91.916,95.9832,79.9176,1000.0
9,86.4764,90.956,95.4802,77.4016,1000.0
10,84.981,90.008,94.9784,74.9226,1000.0
11,83.497,88.978,94.4988,72.4204,1000.0
12,81.9836,88.034,93.9948,69.955,1000.0
13,80.4708,87.084,93.4876,67.456,1000.0
14,78.975,86.058,92.9836,64.959,1000.0
15,77.4888,85.026,92.4684,62.3978,1000.0
16,75.9782,84.046,91.9666,59.9002,1000.0
17,74.4778,83.056,91.4692,57.38,1000.0
18,72.9788,81.97,90.9762,54.8212,1000.0
19,71.4828,80.974,90.478,52.3398,1000.0
20,69.9912,79.936,89.9818,49.8482,1000.0
21,68.5292,78.924,89.4878,47.3564,1000.0
22,67.0258,77.942,88.9968,44.8726,1000.0
23,65.5534,77.002,88.5156,42.3574,1000.0
24,64.0464,76.002,88.0204,39.843,1000.0
25,62.5602,75.042,87.5202,37.3488,1000.0
26,61.0418,74.06,87.027,34.87,1000.0
27,59.5288,73.022,86.5364,32.3642,1000.0
28,58.029,72.028,86.042,29.8678,1000.0
29,56.507,70.916,85.5452,27.3976,1000.0
30,55.005,69.912,85.0394,25.031,1000.0
31,53.5066,69.274,84.546,23.0324,998.9814
32,51.9894,68.79,84.0352,21.5438,997.4568
33,50.518,68.204,83.4864,20.141,995.9508
34,49.0174,67.542,82.9402,18.915,994.4376
35,47.5304,67.49,82.3864,18.2804,991.9202
36,46.066,67.624,81.8404,17.588,989.1126
37,44.56,67.654,81.2428,16.8348,986.4702
38,43.0402,67.604,80.6262,16.044,983.9384
39,41.5554,68.05,80.0312,16.1844,980.4666
40,40.1252,68.538,79.4184,16.152,976.893
41,38.7024,68.932,78.7648,16.0826,973.379
42,37.246,69.312,78.115,16.3186,969.7542
43,36.0266,70.038,77.4638,17.153,965.1712
44,35.0184,70.6,76.8242,18.2632,960.252
45,34.3226,71.486,76.1242,19.3908,955.1504
46,33.7924,72.008,75.411,20.6246,950.117
47,33.787,72.382,74.7114,21.9134,944.8442
48,34.0274,73.058,74.0102,23.1552,938.9808
49,35.2996,73.31,73.311,24.5514,932.833
50,37.0162,73.656,72.6154,25.7676,926.412
51,39.807,73.996,71.9112,27.355,919.0114
52,42.5782,73.984,71.2122,28.9296,911.721
53,45.515,74.086,70.512,30.3756,904.4374
54,48.2826,74.106,69.8136,31.9884,897.4554
55,51.328,74.16,69.1224,33.604,890.0234
56,54.3148,74.2,68.4152,35.5442,882.7114
57,57.2846,74.286,67.7114,37.055,875.7434
58,59.5356,74.188,67.0226,38.3806,869.1334
59,61.5064,74.082,66.33,39.8194,863.0574
60,63.2284,73.89,65.622,40.9058,857.2932
61,68.4766,74.202,64.9792,41.651,849.5586
62,69.1564,75.862,64.3374,41.7972,844.1946
63,69.7042,75.542,63.676,41.8786,840.3246
64,69.8402,75.306,63.0238,41.7946,836.751
65,74.2482,75.054,62.4188,41.2154,831.273
66,73.762,76.622,61.8236,40.8236,827.241
67,73.0794,76.138,61.2328,40.1102,824.7924
68,72.0436,75.772,60.6296,39.3246,822.6362
69,75.2708,75.322,60.081,38.2206,818.5428
70,74.163,76.166,59.5368,37.2458,815.9048
71,72.894,75.892,58.9704,36.222,814.2514
72,71.4682,75.25,58.414,34.7376,813.18
73,75.67,74.642,57.9012,32.9474,809.346
74,74.2552,74.986,57.407,31.4138,807.7818
75,72.7434,74.286,56.9082,29.4204,807.2056
76,71.3262,73.736,56.4004,27.4884,806.548
77,69.8576,73.024,55.9098,25.1464,806.1976
