service_id,date,exception_type
DIVENDRES,20210402,2
DIUMENGES2,20210402,1
DISSABTES,20210403,2
DIUMENGES2,20210403,1
FEINERS,20210405,2
DIUMENGES2,20210405,1
DISSABTES,20210410,2
DIUMENGES2,20210410,1
DISSABTES,20210417,2
DIUMENGES2,20210417,1
DISSABTES,20210102,2
DIUMENGES2,20210102,1
FEINERS,20210624,2
DIUMENGES2,20210624,1
FEINERS,20211012,2
DIUMENGES2,20211012,1
FEINERS,20211101,2
DIUMENGES2,20211101,1
FEINERS,20211206,2
DIUMENGES2,20211206,1
DISSABTES,20210327,2
DIUMENGES2,20210327,1
FEINERS,20210524,2
DIUMENGES2,20210524,1
DISSABTES,20210320,2
DIUMENGES2,20210320,1
DISSABTES,20210306,2
DIUMENGES2,20210306,1
DISSABTES,20210227,2
DIUMENGES2,20210227,1
DISSABTES,20210220,2
DIUMENGES2,20210220,1
DISSABTES,20210213,2
DIUMENGES2,20210213,1
DISSABTES,20210206,2
DIUMENGES2,20210206,1
DISSABTES,20210130,2
DIUMENGES2,20210130,1
DISSABTES,20210123,2
DIUMENGES2,20210123,1
DISSABTES,20210116,2
DIUMENGES2,20210116,1
DISSABTES,20210109,2
DIUMENGES2,20210109,1
FEINERS,20210106,2
DIUMENGES2,20210106,1
FEINERS,20211208,2
DIUMENGES2,20211208,1
DIVENDRES,20210101,2
DIUMENGES2,20210101,1
DISSABTES,20210313,2
DIUMENGES2,20210313,1
DIVENDRES,20210423,2
DIVENDRESFA,20210423,1
DIVENDRES,20210430,2
DIVENDRESFA,20210430,1
DISSABTES,20210424,2
DISSABTESFA,20210424,1
DISSABTES,20210501,2
DISSABTESFA,20210501,1
DIUMENGES,20210425,2
DIUMENGESFA,20210425,1
DIUMENGES,20210502,2
DIUMENGESFA,20210502,1
DIUMENGES,20210523,2
DISSABTES2,20210523,1
DIUMENGES,20211031,2
DISSABTES2,20211031,1
DIUMENGES,20211205,2
DISSABTES2,20211205,1
DIVENDRES,20210924,2
DISSABTESNONSTOP,20210924,1
DISSABTES,20210925,2
DISSABTESNONSTOP,20210925,1
FEINERS,20211011,2
DIVENDRES2,20211011,1
FEINERS,20211207,2
DIVENDRES2,20211207,1
FEINERS,20210623,2
DIVENDRESNONSTOP,20210623,1
FEINERS,20210923,2
DIVENDRESNONSTOP,20210923,1
DIVENDRES,20211231,2
DIVENDRESNONSTOP,20211231,1
DIVENDRES,20211224,2
24DESEMBRE,20211224,1
DIVENDRES,20210305,2
DIV_FINS24,20210305,1
DIVENDRES,20210312,2
DIV_FINS24,20210312,1
FEINERS,20210105,2
DIV_FINS24,20210105,1
DIVENDRES,20210326,2
DIV_FINS24,20210326,1
DIVENDRES,20210226,2
DIV_FINS24,20210226,1
DIVENDRES,20210319,2
DIV_FINS24,20210319,1
DIVENDRES,20210219,2
DIV_FINS24,20210219,1
DIVENDRES,20210416,2
DIV_FINS24,20210416,1
DIVENDRES,20210205,2
DIV_FINS24,20210205,1
DIVENDRES,20210129,2
DIV_FINS24,20210129,1
DIVENDRES,20210122,2
DIV_FINS24,20210122,1
DIVENDRES,20210115,2
DIV_FINS24,20210115,1
DIVENDRES,20210108,2
DIV_FINS24,20210108,1
DIVENDRES,20210409,2
DIV_FINS24,20210409,1
DIVENDRES,20210212,2
DIV_FINS24,20210212,1
