service_id,date,exception_type
FEINERS,20201012,2
DISSABTES24,20201012,1
DISSABTES,20201017,2
DISSABTES24,20201017,1
DISSABTES,20201024,2
DISSABTES24,20201024,1
DISSABTES,20201031,2
DISSABTES24,20201031,1
DISSABTES,20201107,2
DISSABTES24,20201107,1
DISSABTES,20201114,2
DISSABTES24,20201114,1
DISSABTES,20200627,2
DISSABTES24,20200627,1
DISSABTES,20201128,2
DISSABTES24,20201128,1
DIUMENGES,20201206,2
DISSABTES24,20201206,1
DIUMENGES,20201213,2
DISSABTES24,20201213,1
DIUMENGES,20201220,2
DISSABTES24,20201220,1
DISSABTES,20201010,2
DISSABTES24,20201010,1
DISSABTES,20201121,2
DISSABTES24,20201121,1
DISSABTES,20201003,2
DISSABTES24,20201003,1
DISSABTES,20200919,2
DISSABTES24,20200919,1
DISSABTES,20200912,2
DISSABTES24,20200912,1
DISSABTES,20200905,2
DISSABTES24,20200905,1
DISSABTES,20200829,2
DISSABTES24,20200829,1
DISSABTES,20200822,2
DISSABTES24,20200822,1
DISSABTES,20200808,2
DISSABTES24,20200808,1
DISSABTES,20200801,2
DISSABTES24,20200801,1
DISSABTES,20200725,2
DISSABTES24,20200725,1
DISSABTES,20200718,2
DISSABTES24,20200718,1
DIUMENGES,20200705,2
DISSABTES24,20200705,1
DIUMENGES,20200112,2
DISSABTES24,20200112,1
DISSABTES,20200926,2
DISSABTES24,20200926,1
DISSABTES,20201024,2
DISSABTES24,20201024,1
DISSABTES,20201031,2
DISSABTES24,20201031,1
DISSABTES,20201107,2
DISSABTES24,20201107,1
DISSABTES,20201114,2
DISSABTES24,20201114,1
DISSABTES,20201121,2
DISSABTES24,20201121,1
DISSABTES,20201128,2
DISSABTES24,20201128,1
DIUMENGES,20200112,2
DISSABTES24,20200112,1
DIUMENGES,20201206,2
DISSABTES24,20201206,1
DISSABTES,20201212,2
DISSABTES24,20201212,1
DIUMENGES,20201213,2
DISSABTES24,20201213,1
DISSABTES,20201219,2
DISSABTES24,20201219,1
DIUMENGES,20201220,2
DISSABTES24,20201220,1
DISSABTES,20201017,2
DISSABTES24,20201017,1
