route_id,service_id,trip_id,trip_headsign,direction_id,shape_id,wheelchair_accessible
1.1.1,1.1.H1280,1.1.2375663,"Fondo",0,1.1.100.1,1
1.1.1,1.1.H1249,1.1.2375664,"Hospital de Bellvitge",1,1.1.100.2,1
1.1.1,1.1.H1280,1.1.2375666,"Hospital de Bellvitge",1,1.1.100.2,1
1.1.1,1.1.H1280,1.1.2375667,"Hospital de Bellvitge",1,1.1.100.2,1
1.3.1,1.3.H1321,1.3.2378062,"Trinitat Nova",0,1.3.300.1,1
1.3.1,1.3.H1321,1.3.2378063,"Trinitat Nova",0,1.3.300.1,1
1.3.1,1.3.H1309,1.3.2378064,"Trinitat Nova",0,1.3.300.1,1
1.3.1,1.3.H1274,1.3.2378065,"Trinitat Nova",0,1.3.300.1,1
1.3.1,1.3.H1315,1.3.2378066,"Trinitat Nova",0,1.3.300.1,1
1.3.1,1.3.H1321,1.3.2378067,"Zona Universitària",1,1.3.300.2,1
1.3.1,1.3.H1321,1.3.2378068,"Zona Universitària",1,1.3.300.2,1
1.3.1,1.3.H1315,1.3.2378070,"Zona Universitària",1,1.3.300.2,1
1.3.1,1.3.H1320,1.3.2378072,"Zona Universitària",1,1.3.300.2,1
1.3.1,1.3.H1309,1.3.2378075,"Trinitat Nova",0,1.3.300.1,1
1.3.1,1.3.H1309,1.3.2378078,"Trinitat Nova",0,1.3.300.1,1
1.3.1,1.3.H1315,1.3.2378081,"Trinitat Nova",0,1.3.300.1,1
1.3.1,1.3.H1320,1.3.2377907,"Trinitat Nova",0,1.3.300.1,1
1.3.1,1.3.H1274,1.3.2377908,"Trinitat Nova",0,1.3.300.1,1
1.3.1,1.3.H1274,1.3.2377909,"Zona Universitària",1,1.3.300.2,1
1.3.1,1.3.H1309,1.3.2377910,"Trinitat Nova",0,1.3.300.1,1
1.3.1,1.3.H1320,1.3.2377911,"Trinitat Nova",0,1.3.300.1,1
1.3.1,1.3.H1309,1.3.2377912,"Zona Universitària",1,1.3.300.2,1
1.3.1,1.3.H1274,1.3.2377913,"Trinitat Nova",0,1.3.300.1,1
1.3.1,1.3.H1315,1.3.2377915,"Zona Universitària",1,1.3.300.2,1
1.3.1,1.3.H1309,1.3.2377918,"Trinitat Nova",0,1.3.300.1,1
1.3.1,1.3.H1274,1.3.2377920,"Zona Universitària",1,1.3.300.2,1
1.3.1,1.3.H1315,1.3.2377923,"Trinitat Nova",0,1.3.300.1,1
1.3.1,1.3.H1320,1.3.2377926,"Trinitat Nova",0,1.3.300.1,1
1.3.1,1.3.H1315,1.3.2377929,"Zona Universitària",1,1.3.300.2,1
1.3.1,1.3.H1309,1.3.2377932,"Trinitat Nova",0,1.3.300.1,1
1.3.1,1.3.H1315,1.3.2377934,"Zona Universitària",1,1.3.300.2,1
1.3.1,1.3.H1321,1.3.2377937,"Trinitat Nova",0,1.3.300.1,1
1.3.1,1.3.H1274,1.3.2377999,"Zona Universitària",1,1.3.300.2,1
1.3.1,1.3.H1315,1.3.2378000,"Trinitat Nova",0,1.3.300.1,1
1.3.1,1.3.H1321,1.3.2378001,"Zona Universitària",1,1.3.300.2,1
1.3.1,1.3.H1321,1.3.2378002,"Trinitat Nova",0,1.3.300.1,1
1.3.1,1.3.H1274,1.3.2378003,"Zona Universitària",1,1.3.300.2,1
1.3.1,1.3.H1274,1.3.2378004,"Zona Universitària",1,1.3.300.2,1
1.3.1,1.3.H1309,1.3.2378005,"Zona Universitària",1,1.3.300.2,1
1.3.1,1.3.H1274,1.3.2378006,"Zona Universitària",1,1.3.300.2,1
1.3.1,1.3.H1321,1.3.2378009,"Zona Universitària",1,1.3.300.2,1
1.3.1,1.3.H1321,1.3.2378012,"Zona Universitària",1,1.3.300.2,1
1.3.1,1.3.H1320,1.3.2378015,"Trinitat Nova",0,1.3.300.1,1
1.3.1,1.3.H1315,1.3.2378018,"Trinitat Nova",0,1.3.300.1,1
1.3.1,1.3.H1321,1.3.2378021,"Zona Universitària",1,1.3.300.2,1
1.3.1,1.3.H1315,1.3.2378023,"Zona Universitària",1,1.3.300.2,1
1.3.1,1.3.H1309,1.3.2378026,"Zona Universitària",1,1.3.300.2,1
1.3.1,1.3.H1320,1.3.2377886,"Trinitat Nova",0,1.3.300.1,1
1.3.1,1.3.H1321,1.3.2377880,"Zona Universitària",1,1.3.300.2,1
1.3.1,1.3.H1315,1.3.2377881,"Zona Universitària",1,1.3.300.2,1
1.3.1,1.3.H1320,1.3.2377882,"Trinitat Nova",0,1.3.300.1,1
1.3.1,1.3.H1274,1.3.2377888,"Trinitat Nova",0,1.3.300.1,1
1.3.1,1.3.H1321,1.3.2377883,"Trinitat Nova",0,1.3.300.1,1
1.3.1,1.3.H1309,1.3.2377884,"Zona Universitària",1,1.3.300.2,1
1.3.1,1.3.H1320,1.3.2377885,"Zona Universitària",1,1.3.300.2,1
1.3.1,1.3.H1274,1.3.2377891,"Zona Universitària",1,1.3.300.2,1
1.3.1,1.3.H1320,1.3.2377894,"Trinitat Nova",0,1.3.300.1,1
1.3.1,1.3.H1309,1.3.2377896,"Zona Universitària",1,1.3.300.2,1
1.3.1,1.3.H1321,1.3.2377899,"Trinitat Nova",0,1.3.300.1,1
1.3.1,1.3.H1321,1.3.2377902,"Trinitat Nova",0,1.3.300.1,1
1.3.1,1.3.H1309,1.3.2377905,"Trinitat Nova",0,1.3.300.1,1
1.3.1,1.3.H1274,1.3.2377940,"Trinitat Nova",0,1.3.300.1,1
1.3.1,1.3.H1309,1.3.2377941,"Zona Universitària",1,1.3.300.2,1
1.3.1,1.3.H1309,1.3.2377942,"Zona Universitària",1,1.3.300.2,1
1.3.1,1.3.H1315,1.3.2377943,"Zona Universitària",1,1.3.300.2,1
1.3.1,1.3.H1309,1.3.2377944,"Zona Universitària",1,1.3.300.2,1
1.3.1,1.3.H1320,1.3.2377945,"Trinitat Nova",0,1.3.300.1,1
1.3.1,1.3.H1274,1.3.2377946,"Trinitat Nova",0,1.3.300.1,1
1.3.1,1.3.H1274,1.3.2377947,"Zona Universitària",1,1.3.300.2,1
1.3.1,1.3.H1309,1.3.2377950,"Zona Universitària",1,1.3.300.2,1
1.3.1,1.3.H1274,1.3.2377953,"Zona Universitària",1,1.3.300.2,1
