,Codi_provincia,Provincia,Codi_municipi,Municipi,Estacio,Codi_Contaminant,Any,Mes,Dia,H01,V01,H02,V02,H03,V03,H04,V04,H05,V05,H06,V06,H07,V07,H08,V08,H09,V09,H10,V10,H11,V11,H12,V12,H13,V13,H14,V14,H15,V15,H16,V16,H17,V17,H18,V18,H19,V19,H20,V20,H21,V21,H22,V22,H23,V23,H24,V24,nom_cabina,codi_dtes,zqa,codi_eoi,Longitud,Latitud,ubicacio,Codi_districte,Nom_districte,Codi_barri,Nom_barri,Clas_1,Clas_2,Desc_Contaminant,Unitats
0,8,Barcelona,19,Barcelona,4,7,2021,1,1,2.0,V,3.0,V,3.0,V,1.0,V,1.0,V,2.0,V,1.0,V,2.0,V,2.0,V,5.0,V,5.0,V,2.0,V,4.0,V,7.0,V,6.0,V,5.0,V,4.0,V,2.0,V,2.0,V,2.0,V,2.0,V,3.0,V,2.0,V,,N,Barcelona - Poblenou,I2,1,8019004,2.2045,41.4039,Plaça Josep Trueta (Pujades - Lope de Vega),10,Sant Marti,68,el Poblenou,Urbana,Fons,NO,Âµg/mÂ³
1,8,Barcelona,19,Barcelona,4,7,2021,1,2,1.0,V,1.0,V,1.0,V,1.0,V,1.0,V,1.0,V,1.0,V,1.0,V,1.0,V,2.0,V,5.0,V,5.0,V,6.0,V,5.0,V,4.0,V,2.0,V,2.0,V,3.0,V,5.0,V,4.0,V,5.0,V,5.0,V,5.0,V,,N,Barcelona - Poblenou,I2,1,8019004,2.2045,41.4039,Plaça Josep Trueta (Pujades - Lope de Vega),10,Sant Marti,68,el Poblenou,Urbana,Fons,NO,Âµg/mÂ³
2,8,Barcelona,19,Barcelona,4,7,2021,1,3,2.0,V,1.0,V,1.0,V,1.0,V,1.0,V,1.0,V,1.0,V,1.0,V,1.0,V,3.0,V,2.0,V,2.0,V,3.0,V,2.0,V,4.0,V,4.0,V,2.0,V,2.0,V,6.0,V,24.0,V,23.0,V,23.0,V,8.0,V,,N,Barcelona - Poblenou,I2,1,8019004,2.2045,41.4039,Plaça Josep Trueta (Pujades - Lope de Vega),10,Sant Marti,68,el Poblenou,Urbana,Fons,NO,Âµg/mÂ³
3,8,Barcelona,19,Barcelona,4,7,2021,1,4,4.0,V,2.0,V,2.0,V,3.0,V,2.0,V,5.0,V,10.0,V,30.0,V,50.0,V,5.0,V,,N,,N,10.0,V,5.0,V,6.0,V,5.0,V,3.0,V,4.0,V,3.0,V,3.0,V,7.0,V,7.0,V,1.0,V,,N,Barcelona - Poblenou,I2,1,8019004,2.2045,41.4039,Plaça Josep Trueta (Pujades - Lope de Vega),10,Sant Marti,68,el Poblenou,Urbana,Fons,NO,Âµg/mÂ³
4,8,Barcelona,19,Barcelona,4,7,2021,1,5,2.0,V,8.0,V,11.0,V,2.0,V,2.0,V,8.0,V,19.0,V,32.0,V,46.0,V,53.0,V,45.0,V,27.0,V,8.0,V,5.0,V,5.0,V,3.0,V,3.0,V,7.0,V,9.0,V,10.0,V,5.0,V,4.0,V,4.0,V,6.0,V,Barcelona - Poblenou,I2,1,8019004,2.2045,41.4039,Plaça Josep Trueta (Pujades - Lope de Vega),10,Sant Marti,68,el Poblenou,Urbana,Fons,NO,Âµg/mÂ³
5,8,Barcelona,19,Barcelona,4,7,2021,1,6,3.0,V,2.0,V,1.0,V,1.0,V,1.0,V,2.0,V,2.0,V,3.0,V,3.0,V,8.0,V,8.0,V,10.0,V,11.0,V,9.0,V,4.0,V,2.0,V,2.0,V,3.0,V,12.0,V,29.0,V,19.0,V,6.0,V,4.0,V,,N,Barcelona - Poblenou,I2,1,8019004,2.2045,41.4039,Plaça Josep Trueta (Pujades - Lope de Vega),10,Sant Marti,68,el Poblenou,Urbana,Fons,NO,Âµg/mÂ³
6,8,Barcelona,19,Barcelona,4,7,2021,1,7,1.0,V,2.0,V,2.0,V,2.0,V,1.0,V,3.0,V,5.0,V,12.0,V,26.0,V,45.0,V,42.0,V,42.0,V,44.0,V,16.0,V,5.0,V,5.0,V,7.0,V,4.0,V,19.0,V,29.0,V,21.0,V,9.0,V,6.0,V,1.0,V,Barcelona - Poblenou,I2,1,8019004,2.2045,41.4039,Plaça Josep Trueta (Pujades - Lope de Vega),10,Sant Marti,68,el Poblenou,Urbana,Fons,NO,Âµg/mÂ³
7,8,Barcelona,19,Barcelona,4,7,2021,1,8,2.0,V,3.0,V,2.0,V,1.0,V,1.0,V,6.0,V,5.0,V,16.0,V,22.0,V,25.0,V,27.0,V,29.0,V,27.0,V,27.0,V,15.0,V,14.0,V,14.0,V,26.0,V,35.0,V,30.0,V,25.0,V,12.0,V,3.0,V,,N,Barcelona - Poblenou,I2,1,8019004,2.2045,41.4039,Plaça Josep Trueta (Pujades - Lope de Vega),10,Sant Marti,68,el Poblenou,Urbana,Fons,NO,Âµg/mÂ³
8,8,Barcelona,19,Barcelona,4,7,2021,1,9,1.0,V,1.0,V,1.0,V,1.0,V,1.0,V,2.0,V,1.0,V,1.0,V,1.0,V,2.0,V,2.0,V,3.0,V,2.0,V,2.0,V,2.0,V,1.0,V,1.0,V,1.0,V,1.0,V,1.0,V,1.0,V,1.0,V,1.0,V,1.0,V,Barcelona - Poblenou,I2,1,8019004,2.2045,41.4039,Plaça Josep Trueta (Pujades - Lope de Vega),10,Sant Marti,68,el Poblenou,Urbana,Fons,NO,Âµg/mÂ³
9,8,Barcelona,19,Barcelona,4,7,2021,1,10,2.0,V,1.0,V,1.0,V,1.0,V,1.0,V,2.0,V,1.0,V,1.0,V,1.0,V,2.0,V,1.0,V,2.0,V,2.0,V,4.0,V,4.0,V,4.0,V,2.0,V,2.0,V,4.0,V,4.0,V,3.0,V,6.0,V,2.0,V,,N,Barcelona - Poblenou,I2,1,8019004,2.2045,41.4039,Plaça Josep Trueta (Pujades - Lope de Vega),10,Sant Marti,68,el Poblenou,Urbana,Fons,NO,Âµg/mÂ³
