Tram,Descripció,Coordenades
1,Diagonal (Ronda de Dalt a Doctor Marañón),"2.11203535639414,41.3841912394771,2.101502862881051,41.3816307921222"
2,Diagonal (Doctor Marañón a Ronda de Dalt),"2.111944376806616,41.38446666680338,2.101594089443895,41.38186790291103"
3,Diagonal (Doctor Marañón a Pl. Pius XII),"2.112093343037027,41.38422850920645,2.122649794166167,41.38692960796057"
4,Diagonal (Pl. Pius XII a Doctor Marañón),"2.122592049318304,41.38719094189204,2.111969021588291,41.38445704285778"
5,Diagonal (Pl. Pius XII a Pl. Maria Cristina),"2.122657659295115,41.38694195794678,2.127559612359478,41.38817909013056"
6,Diagonal (Pl. Maria Cristina a Pl. Pius XII),"2.127445471496177,41.38841486943499,2.122601820492673,41.38719847624933"
7,Diagonal (Pl. Maria Cristina a Numància),"2.132701524574889,41.38946673844387,2.127548902616105,41.3881628082935"
8,Diagonal (Numància a Pl. Maria Cristina),"2.132462297581474,41.38967891982529,2.127462190288747,41.38844003409361"
9,Diagonal (Entença a Francesc Macià),"2.137322638833081,41.39061820620348,2.143943917307527,41.39234585341213,2.144178386272171,41.39250864877888"
10,Diagonal (Francesc Macià a Entença),"2.144060999786239,41.39265861540969,2.13711452171746,41.39083087775898"
11,González Tablas (Av. Esplugues a Av. Diagonal),"2.106107491366136,41.38722368650431,2.110432299706766,41.38505714728355,2.110724277630485,41.38422626929014"
12,Av. Esplugues (Ronda de Dalt a Av. Pedralbes),"2.106273928148852,41.38713992518994,2.108115369440142,41.38924473340872,2.108207609226092,41.3893000960994,2.108318044589166,41.38935527262985,2.108307223483015,41.38942315929257,2.11123335089245,41.39134199806694,2.111441616446272,41.39154425931103,2.111570307038015,41.39175218595495,2.111644036434663,41.39194609598651,2.112065350779475,41.39378512329073"
13,Av. Esplugues (Av. Pedralbes a Ronda de Dalt),"2.112026200374138,41.39377325017414,2.11160284438731,41.39192007468164,2.111442024905958,41.39161541998774,2.111221832329946,41.39138052913035,2.108354461482827,41.38951661786231,2.108260126069645,41.38949072679201,2.108133127769849,41.38944308927453,2.108068687012519,41.3893676653442,2.107978912239144,41.38934100710129,2.106144605580458,41.38722296411324"
14,Pg. Reina Elisenda (Av. Pedralbes a Via Augusta),"2.112072695077745,41.39380124596624,2.112232035475661,41.39407030540065,2.112483090846014,41.3943008468103,2.112805527122252,41.39442840686507,2.113176178162153,41.39467694315182,2.11313152689441,41.394963671984,2.116117567999809,41.3974697962764,2.116279639127208,41.39758075657097,2.117535337705405,41.39791369127045,2.119995044018954,41.39936758176113,2.1205131288624,41.39963270275632,2.121481210142819,41.39994840956241,2.121933746592533,41.40015040645645,2.122133858036388,41.40027481603566,2.122856418438939,41.40070227942456"
15,Pg. Reina Elisenda (Via Augusta a Av. Pedralbes),"2.122770732529791,41.40076472824114,2.122128640074625,41.40030204536649,2.121918512386656,41.40018184980995,2.121463637807113,41.39998710660895,2.120478837408124,41.39967289224742,2.11995225344459,41.39939123734079,2.117517809654015,41.39794730016671,2.116214611578322,41.39759875207511,2.112291359970397,41.39431333177956,2.112050411769266,41.3940250536884,2.111996244601915,41.39391093398807,2.112060429656626,41.39378186438628"
