,Codi_provincia,Provincia,Codi_municipi,Municipi,Estacio,Codi_Contaminant,Any,Mes,Dia,H01,V01,H02,V02,H03,V03,H04,V04,H05,V05,H06,V06,H07,V07,H08,V08,H09,V09,H10,V10,H11,V11,H12,V12,H13,V13,H14,V14,H15,V15,H16,V16,H17,V17,H18,V18,H19,V19,H20,V20,H21,V21,H22,V22,H23,V23,H24,V24,nom_cabina,codi_dtes,zqa,codi_eoi,Longitud,Latitud,ubicacio,Codi_districte,Nom_districte,Codi_barri,Nom_barri,Clas_1,Clas_2
0,8,Barcelona,19,Barcelona,4,12,2021,1,1,39.0,V,37.0,V,28.0,V,25.0,V,36.0,V,39.0,V,17.0,V,27.0,V,35.0,V,36.0,V,33.0,V,24.0,V,36.0,V,47.0,V,46.0,V,36.0,V,34.0,V,19.0,V,18.0,V,24.0,V,21.0,V,30.0,V,14.0,V,,N,Barcelona - Poblenou,I2,1,8019004,2.2045,41.4039,Plaça Josep Trueta (Pujades - Lope de Vega),10,Sant Marti,68,el Poblenou,Urbana,Fons
1,8,Barcelona,19,Barcelona,4,12,2021,1,2,10.0,V,12.0,V,9.0,V,8.0,V,7.0,V,8.0,V,10.0,V,10.0,V,12.0,V,13.0,V,22.0,V,21.0,V,26.0,V,24.0,V,21.0,V,20.0,V,21.0,V,26.0,V,34.0,V,46.0,V,52.0,V,49.0,V,51.0,V,,N,Barcelona - Poblenou,I2,1,8019004,2.2045,41.4039,Plaça Josep Trueta (Pujades - Lope de Vega),10,Sant Marti,68,el Poblenou,Urbana,Fons
2,8,Barcelona,19,Barcelona,4,12,2021,1,3,38.0,V,12.0,V,4.0,V,3.0,V,3.0,V,7.0,V,6.0,V,7.0,V,9.0,V,18.0,V,15.0,V,13.0,V,15.0,V,16.0,V,26.0,V,29.0,V,28.0,V,34.0,V,63.0,V,112.0,V,99.0,V,96.0,V,66.0,V,,N,Barcelona - Poblenou,I2,1,8019004,2.2045,41.4039,Plaça Josep Trueta (Pujades - Lope de Vega),10,Sant Marti,68,el Poblenou,Urbana,Fons
3,8,Barcelona,19,Barcelona,4,12,2021,1,4,51.0,V,45.0,V,40.0,V,44.0,V,37.0,V,43.0,V,55.0,V,86.0,V,126.0,V,37.0,V,,N,,N,38.0,V,25.0,V,29.0,V,27.0,V,24.0,V,34.0,V,44.0,V,38.0,V,58.0,V,59.0,V,26.0,V,,N,Barcelona - Poblenou,I2,1,8019004,2.2045,41.4039,Plaça Josep Trueta (Pujades - Lope de Vega),10,Sant Marti,68,el Poblenou,Urbana,Fons
4,8,Barcelona,19,Barcelona,4,12,2021,1,5,43.0,V,62.0,V,64.0,V,34.0,V,32.0,V,52.0,V,73.0,V,95.0,V,121.0,V,131.0,V,114.0,V,79.0,V,34.0,V,25.0,V,24.0,V,21.0,V,31.0,V,47.0,V,68.0,V,76.0,V,52.0,V,49.0,V,41.0,V,54.0,V,Barcelona - Poblenou,I2,1,8019004,2.2045,41.4039,Plaça Josep Trueta (Pujades - Lope de Vega),10,Sant Marti,68,el Poblenou,Urbana,Fons
5,8,Barcelona,19,Barcelona,4,12,2021,1,6,42.0,V,38.0,V,29.0,V,24.0,V,21.0,V,25.0,V,29.0,V,29.0,V,28.0,V,38.0,V,35.0,V,39.0,V,42.0,V,34.0,V,23.0,V,17.0,V,18.0,V,26.0,V,79.0,V,115.0,V,90.0,V,58.0,V,49.0,V,,N,Barcelona - Poblenou,I2,1,8019004,2.2045,41.4039,Plaça Josep Trueta (Pujades - Lope de Vega),10,Sant Marti,68,el Poblenou,Urbana,Fons
6,8,Barcelona,19,Barcelona,4,12,2021,1,7,33.0,V,36.0,V,36.0,V,34.0,V,29.0,V,33.0,V,39.0,V,58.0,V,84.0,V,115.0,V,110.0,V,111.0,V,117.0,V,57.0,V,31.0,V,28.0,V,38.0,V,36.0,V,81.0,V,104.0,V,89.0,V,66.0,V,46.0,V,25.0,V,Barcelona - Poblenou,I2,1,8019004,2.2045,41.4039,Plaça Josep Trueta (Pujades - Lope de Vega),10,Sant Marti,68,el Poblenou,Urbana,Fons
7,8,Barcelona,19,Barcelona,4,12,2021,1,8,26.0,V,37.0,V,27.0,V,17.0,V,18.0,V,31.0,V,33.0,V,57.0,V,70.0,V,69.0,V,72.0,V,80.0,V,82.0,V,79.0,V,56.0,V,60.0,V,72.0,V,104.0,V,120.0,V,110.0,V,95.0,V,65.0,V,34.0,V,,N,Barcelona - Poblenou,I2,1,8019004,2.2045,41.4039,Plaça Josep Trueta (Pujades - Lope de Vega),10,Sant Marti,68,el Poblenou,Urbana,Fons
8,8,Barcelona,19,Barcelona,4,12,2021,1,9,12.0,V,13.0,V,6.0,V,7.0,V,11.0,V,15.0,V,14.0,V,11.0,V,12.0,V,17.0,V,18.0,V,23.0,V,16.0,V,16.0,V,13.0,V,12.0,V,14.0,V,16.0,V,11.0,V,12.0,V,11.0,V,13.0,V,10.0,V,9.0,V,Barcelona - Poblenou,I2,1,8019004,2.2045,41.4039,Plaça Josep Trueta (Pujades - Lope de Vega),10,Sant Marti,68,el Poblenou,Urbana,Fons
9,8,Barcelona,19,Barcelona,4,12,2021,1,10,11.0,V,6.0,V,6.0,V,5.0,V,6.0,V,9.0,V,7.0,V,10.0,V,12.0,V,15.0,V,13.0,V,15.0,V,22.0,V,33.0,V,37.0,V,40.0,V,19.0,V,35.0,V,44.0,V,38.0,V,32.0,V,48.0,V,31.0,V,,N,Barcelona - Poblenou,I2,1,8019004,2.2045,41.4039,Plaça Josep Trueta (Pujades - Lope de Vega),10,Sant Marti,68,el Poblenou,Urbana,Fons
